Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
1000,93.299,75.7576,0.00110107,0.00343759
1005,93.299,75.7576,0.00109622,0.00343385
1010,93.299,75.7576,0.00109142,0.00343014
1015,93.299,75.7576,0.00108667,0.00342647
1020,93.4708,75.7576,0.00108196,0.00342284
1025,93.4708,75.7576,0.0010773,0.00341923
1030,93.6426,75.7576,0.00107268,0.00341566
1035,93.8144,75.7576,0.0010681,0.00341212
1040,93.8144,75.7576,0.00106356,0.0034086
1045,93.9863,75.7576,0.00105906,0.00340512
1050,94.1581,75.7576,0.0010546,0.00340167
1055,94.5017,75.7576,0.00105018,0.00339824
1060,94.5017,75.7576,0.00104579,0.00339483
1065,94.5017,78.7879,0.00104143,0.00339146
1070,94.5017,78.7879,0.00103711,0.0033881
1075,94.5017,78.7879,0.00103282,0.00338477
1080,94.5017,78.7879,0.00102856,0.00338146
1085,94.5017,78.7879,0.00102433,0.00337818
1090,94.5017,78.7879,0.00102013,0.00337491
1095,94.6735,78.7879,0.00101595,0.00337167
1100,94.6735,78.7879,0.00101179,0.00336844
1105,94.6735,78.7879,0.00100766,0.00336523
1110,94.6735,78.7879,0.00100354,0.00336204
1115,94.6735,78.7879,0.000999438,0.00335886
1120,94.6735,78.7879,0.000995349,0.00335569
1125,94.6735,78.7879,0.00099127,0.00335254
1130,94.8454,78.7879,0.000987197,0.0033494
1135,94.8454,78.7879,0.000983127,0.00334627
1140,94.8454,78.7879,0.000979054,0.00334316
1145,94.8454,78.7879,0.000974975,0.00334004
1150,94.8454,78.7879,0.000970884,0.00333694
1155,94.8454,78.7879,0.000966774,0.00333384
1160,95.0172,78.7879,0.000962639,0.00333074
1165,95.189,78.7879,0.000958471,0.00332765
1170,95.3608,78.7879,0.000954261,0.00332455
1175,95.3608,78.7879,0.000949998,0.00332146
1180,95.5326,78.7879,0.000945671,0.00331836
1185,95.7045,78.7879,0.000941267,0.00331526
1190,95.7045,78.7879,0.00093677,0.00331216
1195,95.7045,78.7879,0.000932163,0.00330905
1200,95.7045,78.7879,0.000927426,0.00330593
1205,95.7045,78.7879,0.000922539,0.0033028
1210,95.7045,78.7879,0.000917475,0.00329966
1215,95.7045,78.7879,0.000912209,0.00329651
1220,95.7045,78.7879,0.000906712,0.00329334
1225,95.7045,78.7879,0.000900955,0.00329014
1230,95.8763,78.7879,0.000894909,0.00328692
1235,96.0481,78.7879,0.000888551,0.00328366
1240,96.2199,78.7879,0.000881863,0.00328034
1245,96.2199,78.7879,0.00087484,0.00327694
1250,96.2199,78.7879,0.000867497,0.00327344
1255,96.2199,78.7879,0.000859867,0.00326981
1260,96.2199,78.7879,0.000852012,0.00326602
1265,96.2199,78.7879,0.000844016,0.00326205
1270,96.2199,78.7879,0.000835978,0.00325788
1275,96.2199,78.7879,0.000828005,0.00325353
1280,96.2199,78.7879,0.000820198,0.00324901
1285,96.3918,78.7879,0.000812642,0.00324438
1290,96.3918,78.7879,0.000805397,0.0032397
1295,96.3918,78.7879,0.0007985,0.00323501
1300,96.3918,78.7879,0.000791964,0.00323039
1305,96.5636,78.7879,0.000785785,0.00322588
1310,96.5636,78.7879,0.000779947,0.00322149
1315,96.5636,78.7879,0.000774425,0.00321726
1320,96.5636,78.7879,0.000769191,0.00321319
1325,96.5636,78.7879,0.000764213,0.00320926
1330,96.3918,78.7879,0.000759461,0.00320546
1335,96.3918,78.7879,0.000754906,0.00320178
1340,96.3918,78.7879,0.000750518,0.00319818
1345,96.3918,78.7879,0.000746268,0.00319463
1350,96.3918,78.7879,0.000742128,0.00319111
1355,96.3918,78.7879,0.000738068,0.00318757
1360,96.3918,81.8182,0.000734054,0.00318398
1365,96.3918,81.8182,0.000730046,0.00318028
1370,96.3918,81.8182,0.00072599,0.00317642
1375,96.3918,81.8182,0.000721815,0.00317234
1380,96.5636,81.8182,0.000717411,0.00316794
1385,96.7354,81.8182,0.000712605,0.00316313
1390,96.7354,81.8182,0.000707096,0.00315776
1395,96.7354,81.8182,0.000700336,0.0031517
1400,96.5636,81.8182,0.000691262,0.00314487
1405,96.3918,81.8182,0.000677853,0.00313755
1410,96.5636,81.8182,0.000657223,0.00313132
1415,96.3918,81.8182,0.00063003,0.00312961
1420,96.3918,78.7879,0.000605585,0.00313386
1425,96.3918,78.7879,0.000588942,0.00314082
1430,96.5636,78.7879,0.000577521,0.00314762
1435,96.5636,78.7879,0.000568958,0.00315329
1440,96.5636,78.7879,0.000562105,0.0031577
1445,96.7354,78.7879,0.000556372,0.00316096
1450,96.7354,78.7879,0.000551411,0.00316324
1455,96.9072,78.7879,0.000546999,0.00316474
1460,96.9072,78.7879,0.00054299,0.00316561
1465,96.9072,78.7879,0.000539285,0.00316598
1470,96.9072,78.7879,0.000535815,0.00316597
1475,96.9072,78.7879,0.000532532,0.00316567
1480,97.079,78.7879,0.000529401,0.00316514
1485,97.4227,78.7879,0.000526398,0.00316444
1490,97.5945,78.7879,0.000523504,0.00316361
1495,97.4227,78.7879,0.000520706,0.00316269
1500,97.4227,78.7879,0.000517993,0.00316169
1505,97.4227,75.7576,0.000515356,0.00316065
1510,97.5945,75.7576,0.000512788,0.00315957
1515,97.5945,75.7576,0.000510283,0.00315847
1520,97.5945,75.7576,0.000507838,0.00315735
1525,97.7663,78.7879,0.000505448,0.00315623
1530,97.7663,78.7879,0.00050311,0.00315511
1535,97.7663,78.7879,0.00050082,0.00315399
1540,97.7663,78.7879,0.000498577,0.00315287
1545,97.7663,78.7879,0.000496377,0.00315176
1550,97.9381,78.7879,0.00049422,0.00315066
1555,98.11,78.7879,0.000492102,0.00314957
1560,98.11,78.7879,0.000490023,0.00314849
1565,98.11,78.7879,0.00048798,0.00314742
1570,98.11,78.7879,0.000485973,0.00314636
1575,98.11,78.7879,0.000483999,0.00314531
1580,98.11,78.7879,0.000482059,0.00314427
1585,98.11,78.7879,0.00048015,0.00314324
1590,98.11,78.7879,0.000478272,0.00314222
1595,98.11,78.7879,0.000476423,0.00314121
1600,98.11,78.7879,0.000474603,0.00314021
1605,98.11,78.7879,0.000472811,0.00313921
1610,98.11,78.7879,0.000471046,0.00313823
1615,98.11,78.7879,0.000469307,0.00313725
1620,98.11,78.7879,0.000467593,0.00313628
1625,98.11,78.7879,0.000465904,0.00313532
1630,98.11,78.7879,0.000464239,0.00313436
1635,98.11,78.7879,0.000462598,0.00313342
1640,98.11,78.7879,0.000460979,0.00313247
1645,98.11,78.7879,0.000459382,0.00313154
1650,98.11,78.7879,0.000457806,0.00313061
1655,98.11,78.7879,0.000456252,0.00312968
1660,98.11,78.7879,0.000454718,0.00312876
1665,98.11,78.7879,0.000453204,0.00312785
1670,98.2818,78.7879,0.000451709,0.00312694
1675,98.2818,78.7879,0.000450234,0.00312603
1680,98.2818,78.7879,0.000448777,0.00312513
1685,98.2818,78.7879,0.000447337,0.00312423
1690,98.2818,78.7879,0.000445916,0.00312334
1695,98.2818,78.7879,0.000444512,0.00312245
1700,98.2818,78.7879,0.000443124,0.00312157
1705,98.2818,78.7879,0.000441753,0.00312069
1710,98.2818,78.7879,0.000440398,0.00311981
1715,98.2818,78.7879,0.000439059,0.00311894
1720,98.2818,78.7879,0.000437735,0.00311807
1725,98.2818,78.7879,0.000436426,0.0031172
1730,98.2818,78.7879,0.000435132,0.00311634
1735,98.2818,78.7879,0.000433853,0.00311548
1740,98.7973,78.7879,0.000432587,0.00311462
1745,98.7973,78.7879,0.000431335,0.00311377
1750,98.7973,78.7879,0.000430097,0.00311292
1755,98.7973,78.7879,0.000428872,0.00311207
1760,98.7973,78.7879,0.00042766,0.00311123
1765,98.7973,78.7879,0.000426461,0.00311039
1770,98.7973,78.7879,0.000425274,0.00310955
1775,98.7973,78.7879,0.0004241,0.00310871
1780,98.7973,78.7879,0.000422938,0.00310788
1785,98.7973,78.7879,0.000421787,0.00310705
1790,98.7973,78.7879,0.000420648,0.00310623
1795,98.7973,78.7879,0.000419521,0.00310541
1800,98.7973,78.7879,0.000418404,0.00310459
1805,98.7973,78.7879,0.000417299,0.00310377
1810,98.7973,78.7879,0.000416204,0.00310296
1815,98.7973,78.7879,0.00041512,0.00310215
1820,98.7973,78.7879,0.000414046,0.00310134
1825,98.7973,78.7879,0.000412983,0.00310053
1830,98.7973,78.7879,0.00041193,0.00309973
1835,98.7973,78.7879,0.000410886,0.00309894
1840,98.7973,78.7879,0.000409852,0.00309814
1845,98.7973,78.7879,0.000408828,0.00309735
1850,98.7973,78.7879,0.000407813,0.00309656
1855,98.7973,78.7879,0.000406808,0.00309577
1860,98.9691,78.7879,0.000405811,0.00309499
1865,98.9691,78.7879,0.000404824,0.00309421
1870,98.9691,78.7879,0.000403845,0.00309343
1875,98.9691,78.7879,0.000402875,0.00309266
1880,98.9691,78.7879,0.000401914,0.00309189
1885,98.9691,78.7879,0.000400961,0.00309112
1890,98.9691,78.7879,0.000400016,0.00309035
1895,98.9691,78.7879,0.000399079,0.00308959
1900,98.9691,78.7879,0.000398151,0.00308883
1905,98.9691,78.7879,0.00039723,0.00308808
1910,98.9691,78.7879,0.000396317,0.00308733
1915,98.9691,78.7879,0.000395412,0.00308658
1920,98.9691,78.7879,0.000394515,0.00308583
1925,98.9691,78.7879,0.000393624,0.00308509
1930,98.9691,78.7879,0.000392742,0.00308435
1935,98.9691,78.7879,0.000391866,0.00308361
1940,98.9691,78.7879,0.000390998,0.00308288
1945,98.9691,78.7879,0.000390137,0.00308215
1950,98.9691,78.7879,0.000389283,0.00308142
1955,99.1409,78.7879,0.000388435,0.0030807
1960,99.1409,78.7879,0.000387595,0.00307997
1965,99.1409,78.7879,0.000386761,0.00307926
1970,99.1409,78.7879,0.000385934,0.00307854
1975,99.1409,78.7879,0.000385113,0.00307783
1980,99.1409,78.7879,0.000384299,0.00307712
1985,99.1409,78.7879,0.000383491,0.00307641
1990,99.1409,78.7879,0.000382689,0.00307571
1995,99.1409,78.7879,0.000381893,0.00307501
2000,99.1409,78.7879,0.000381261,0.00307446

Training Complete!!! - > Elapsed Epochs: 2000 Validation Set Accuracy: 65.625 Validation Set MSE: 0.0139369
